ensembl_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene
ENSMUSG00000028634,1633.5470517961046,0.5343345197531619,0.07080563785181317,1.6021080825188793e-15,1.7647220528945457e-11,Hivep3
ENSMUSG00000015656,4628.461272108375,0.3224123471666694,0.05340061602222082,1.511319644710413e-13,8.3235929432426e-10,Hspa8
ENSMUSG00000035202,378.0270998059576,-0.5469695663009432,0.09429357392336639,7.833728246232155e-11,2.8762838877415727e-7,Lars2
ENSMUSG00000023927,1384.0708421783545,-0.4759650402186215,0.08797232208002835,4.822184681353225e-10,1.3279091066276444e-6,Satb1
ENSMUSG00000028211,156.8853719445066,-0.5375609775114724,0.11688053518658131,8.847418635854623e-9,1.6759043453669848e-5,Trp53inp1
ENSMUSG00000041515,542.8176820711042,0.5164889335099083,0.1116231123290859,9.128848000183305e-9,1.6759043453669848e-5,Irf8
ENSMUSG00000002603,575.6641941621987,0.3229305657569917,0.10774470819573187,6.392122728395691e-7,0.0010058461693325505,Tgfb1
ENSMUSG00000022475,1249.5731064510844,0.21385318727643898,0.06712627195442955,1.6182036160958473e-6,0.00222806410391197,Hdac7
ENSMUSG00000029328,1688.7777801824984,-0.19934616371784958,0.06349999849397765,4.1021458503333695e-6,0.005020570726824674,Hnrnpdl
ENSMUSG00000003099,566.2478973181635,0.2802421268329339,0.11390862374663017,5.208787786273544e-6,0.005737479746580308,Ppp5c
ENSMUSG00000020456,392.76735423817803,0.26417873237394585,0.10854801922499538,6.742817896269503e-6,0.006752012647946234,Ogdh
ENSMUSG00000021134,554.8507498411831,-0.27060804821741785,0.11354561177123507,7.4945824417535564e-6,0.0068794021329929515,Srsf5
ENSMUSG00000003808,487.9856678032089,0.24457006326307573,0.10069946143804215,9.338727346795483e-6,0.007347577266068018,Farsa
ENSMUSG00000046169,114.0292456815462,0.36288093108120384,0.18285315175551334,9.13925491305374e-6,0.007347577266068018,Adamts6
ENSMUSG00000030057,4159.7924008543805,-0.16485602427682858,0.04653985344859134,1.0210647894775407e-5,0.007498019104063408,Cnbp
ENSMUSG00000028788,1410.9129222982046,-0.16585959656868823,0.04763751415811263,1.1620930946814151e-5,0.007529679669362229,Ptp4a2
ENSMUSG00000032020,398.46758246511126,0.26197296573439055,0.11452922929566031,1.155478068404372e-5,0.007529679669362229,Ubash3b
ENSMUSG00000022637,280.69177099524586,-0.3375297267930712,0.17076427097716998,1.2995718964414811e-5,0.007952658021834952,Cblb
ENSMUSG00000055805,196.25754626466596,0.3165661708188662,0.15475275510177147,1.4120481735461308e-5,0.008186163490321384,Fmnl1
ENSMUSG00000027011,202.30206934821672,-0.3037057441228593,0.1487847356731176,1.6106499789870827e-5,0.008670579325285751,Ube2e3
ENSMUSG00000071076,1427.6250759921807,0.18225049419365483,0.060522357344267606,1.6530382735451726e-5,0.008670579325285751,Jund
ENSMUSG00000021707,742.7183419146767,-0.1914626637713269,0.0696249284000784,2.074232551470439e-5,0.010385305252021311,Dhfr
ENSMUSG00000025283,629.071586565236,-0.21434242557937117,0.09162015912325965,2.6900490584902325e-5,0.01091006493755426,Sat1
ENSMUSG00000041959,1464.3303787877833,-0.21371929698449016,0.09073466579233935,2.615350860270108e-5,0.01091006493755426,S100a10
ENSMUSG00000011096,107.5726364301781,0.30980089537316097,0.19112516797692372,2.7733256309715775e-5,0.01091006493755426,Akt1s1
ENSMUSG00000052681,1734.1065810014068,-0.16722338321135846,0.05252303181132804,2.59551232573392e-5,0.01091006493755426,Rap1b
ENSMUSG00000025316,72.86546486305022,0.2854586027103906,0.21617211169265427,2.5677891015852173e-5,0.01091006493755426,Banp
ENSMUSG00000058470,266.72480366491607,-0.2863346835162319,0.14584799948727525,2.3484512760200423e-5,0.01091006493755426,Gm8369
ENSMUSG00000007817,433.06290174843497,0.23210324453590714,0.1082382917496872,3.057596917160843e-5,0.011226476680842229,Zmiz1
ENSMUSG00000002699,2617.9400272927455,0.16585164337306407,0.052410796855825496,2.9884673040801324e-5,0.011226476680842229,Lcp2
ENSMUSG00000013236,340.7648516920743,0.23014503500534716,0.10732436947198672,3.1906961601779366e-5,0.011337263936890314,Ptprs
ENSMUSG00000048534,129.18628061784264,-0.2885837801650717,0.1696215998031012,3.851505177916789e-5,0.012477743980809832,Jaml
ENSMUSG00000084796,399.10857039905204,0.25027136756169677,0.1276889431995482,3.776981382851854e-5,0.012477743980809832,Mir142hg
ENSMUSG00000022982,893.073882326928,-0.17931700883184123,0.0645065710661242,3.6856134963086674e-5,0.012477743980809832,Sod1
ENSMUSG00000073102,8.723877064302027,-0.06598346799714297,0.11983028890455513,5.144978123139801e-5,0.016191981150395687,Drc1
ENSMUSG00000029817,637.546122641277,0.19070110179079755,0.07933919674094633,5.4691471697276096e-5,0.01673407113181934,Tra2a
ENSMUSG00000023505,799.8310011422614,-0.1805022606906268,0.07000561186658805,5.7504670814002846e-5,0.017119295919357874,Cdca3
ENSMUSG00000030671,129.8148398902983,-0.26857489602074647,0.16807132336524555,6.0510911345802306e-5,0.017540202328263484,Pde3b
ENSMUSG00000031838,381.11818843710944,0.20840375182452336,0.10040408710118723,6.769578192723224e-5,0.019119718921242645,Ifi30
ENSMUSG00000101609,154.27345805750303,0.26217833639464666,0.1764898606796608,7.269715639251177e-5,0.02001897944158793,Kcnq1ot1
ENSMUSG00000033685,1073.5160314575514,0.17785065452663965,0.07127484754672744,8.042703574487999e-5,0.02160740972511837,Ucp2
ENSMUSG00000034160,341.5243000106361,0.21441955707749846,0.11179026625993763,8.617401717659074e-5,0.022600161885717784,Ogt
ENSMUSG00000039929,171.0804318778438,0.2443087888262046,0.15555714207317245,9.686072967751049e-5,0.024812114823204143,Urb1
ENSMUSG00000029723,502.4431180139042,0.18635780715415387,0.08358024791655458,1.0051935994395286e-4,0.025164107949605472,Tsc22d4
ENSMUSG00000061288,416.111825991317,0.18833969394918237,0.08685529566184384,1.0688661259634402e-4,0.026163467505527317,Taok3
ENSMUSG00000079659,303.92267857114973,-0.20391367658005222,0.10637835012209207,1.141598584877052e-4,0.027336322635697234,Tmem243
ENSMUSG00000038550,70.33437219308802,0.188778266029333,0.1878083625851631,1.22121644512677e-4,0.02862063647461994,Ciart
ENSMUSG00000045092,24.612521010403434,-0.12913006004362132,0.16368663089364113,1.277405668523833e-4,0.029313798830812542,S1pr1
ENSMUSG00000020077,2100.8472019513797,-0.17849701700399884,0.08020090109169196,1.423454227445507e-4,0.03199867003124951,Srgn
ENSMUSG00000041126,766.0090694073218,-0.18771179636680888,0.09283866998699407,1.5178535887127868e-4,0.033438314559342694,H2az2
ENSMUSG00000028044,1327.5725247533933,-0.1430513359015095,0.04690048194707195,1.5638013747783488e-4,0.03345929737420611,Cks1b
ENSMUSG00000020289,62.97699688331368,0.19857431266707892,0.184061132659525,1.5795582963765026e-4,0.03345929737420611,Nprl3
ENSMUSG00000055723,363.9605617171429,-0.18847380875028963,0.09516392273971952,1.6137986857041805e-4,0.03353960853402179,Rras2
ENSMUSG00000060679,510.4368452318407,-0.16962518124841433,0.07380962637300499,1.8631499850430702e-4,0.03478406285635494,Mrps9
ENSMUSG00000053286,178.4569578051012,0.2179426022346012,0.14396574369182982,1.7711802305081127e-4,0.03478406285635494,Trmt1l
ENSMUSG00000018322,539.2764886722708,0.17461648548999292,0.07902621389406699,1.7539487745640782e-4,0.03478406285635494,Tomm34
ENSMUSG00000000628,394.97776271059297,0.19805867838078284,0.11162511127089089,1.8335633541357828e-4,0.03478406285635494,Hk2
ENSMUSG00000047649,266.3459958149545,0.20289825446503879,0.11932434462172363,1.860593859698377e-4,0.03478406285635494,Polr1g
ENSMUSG00000033318,401.96492119218493,-0.1890402719654914,0.09792212100059104,1.7578541328717166e-4,0.03478406285635494,Gstt2
ENSMUSG00000038722,623.1969299930105,-0.16197707367131164,0.06509599726408477,1.907013911044923e-4,0.03500959705026638,Bud31
